sl_no,State_Name,District_Name,Market_Name,Variety,Group,Arrivals,Min_price,Max_price,Modal_price,Date
1,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,439,4881,5000,4949,02-Jan-14
2,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,43,4850,5000,4925,02-Jan-14
3,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,45,4850,5000,4950,02-Jan-14
4,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,25,4850,5000,4950,02-Jan-14
5,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,4.2,4500,4650,4600,02-Jan-14
6,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,400,4861,5001,4950,04-Jan-14
7,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,35,4900,5001,4950,04-Jan-14
8,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,110,4875,4980,4950,04-Jan-14
9,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,65,4900,5001,4950,04-Jan-14
10,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,16.5,4450,4950,4825,04-Jan-14
11,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,565.09,4750,4900,4825,04-Jan-14
12,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,2.4,4550,4650,4600,04-Jan-14
13,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,335,4900,5011,4950,06-Jan-14
14,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,35,4900,5001,4950,06-Jan-14
15,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,120,4900,5000,4950,06-Jan-14
16,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,85,4900,5000,4950,06-Jan-14
17,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,477.27,4700,4850,4775,06-Jan-14
18,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,1.2,4600,4700,4650,06-Jan-14
19,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,450,4950,5100,5001,08-Jan-14
20,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,125,4900,5050,5000,08-Jan-14
21,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,215,4950,5075,5000,08-Jan-14
22,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,32,4900,5050,5000,08-Jan-14
23,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18,4900,5000,4950,08-Jan-14
24,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,403.26,4751,4900,4825,08-Jan-14
25,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,9.5,3725,3840,3785,08-Jan-14
26,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,0.5,4500,4750,4600,08-Jan-14
27,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,325,4875,5050,4950,10-Jan-14
28,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,220,4850,5000,4975,10-Jan-14
29,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,120,4875,5025,4975,10-Jan-14
30,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,25,4875,5025,4975,10-Jan-14
31,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,17.5,4911,5001,4945,10-Jan-14
32,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,615.87,4751,4901,4831,10-Jan-14
33,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,45,4950,5050,5000,12-Jan-14
34,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,10,4900,5050,5000,12-Jan-14
35,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,25,4900,5000,4975,12-Jan-14
36,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,5,4900,5000,4975,12-Jan-14
37,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,225,4950,5050,5000,13-Jan-14
38,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,24,4950,5000,4975,13-Jan-14
39,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,45,4900,5050,5000,13-Jan-14
40,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,20,4950,5050,5000,13-Jan-14
41,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,16.5,4900,5000,4950,13-Jan-14
42,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,686.83,4751,4900,4851,13-Jan-14
43,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,15,4785,4900,4840,13-Jan-14
44,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,10,5150,5200,5175,14-Jan-14
45,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,12,5200,5300,5250,14-Jan-14
46,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,8,5200,5250,5225,14-Jan-14
47,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,4,5200,5300,5250,14-Jan-14
48,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,17,4921,5001,4965,14-Jan-14
49,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,235,5200,5334,5300,16-Jan-14
50,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,100,5200,5300,5275,16-Jan-14
51,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,18,5200,5325,5300,16-Jan-14
52,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18,4900,5000,4965,16-Jan-14
53,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,410.58,4900,5011,4951,16-Jan-14
54,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,14,4810,4975,4850,16-Jan-14
55,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,335,5200,5350,5300,18-Jan-14
56,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,145,5200,5350,5275,18-Jan-14
57,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,200,5200,5350,5290,18-Jan-14
58,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,12,5200,5350,5300,18-Jan-14
59,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,20,4951,5000,4975,18-Jan-14
60,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,430.24,4951,5200,5100,18-Jan-14
61,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,13.5,4810,5065,4975,18-Jan-14
62,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,225,5150,5300,5225,20-Jan-14
63,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,150,5050,5250,5200,20-Jan-14
64,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,210,5150,5300,5225,20-Jan-14
65,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,15,5100,5275,5200,20-Jan-14
66,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,19.5,4950,5011,4975,20-Jan-14
67,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,386.5,4951,5150,5100,20-Jan-14
68,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,16,4985,5100,5040,20-Jan-14
69,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,210,5000,5100,5050,22-Jan-14
70,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,32,5000,5000,5000,22-Jan-14
71,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,21,5050,5100,5075,22-Jan-14
72,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,21,5000,5100,5050,22-Jan-14
73,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,20,4800,5000,4900,22-Jan-14
74,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,131.97,5001,5101,5051,22-Jan-14
75,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,35,5200,5300,5250,24-Jan-14
76,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,21,5100,5300,5250,24-Jan-14
77,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,15,5150,5300,5225,24-Jan-14
78,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,20,5150,5300,5250,24-Jan-14
79,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,15.5,4900,5051,4965,24-Jan-14
80,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,287.88,4901,5051,4991,24-Jan-14
81,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,11,5025,5185,5125,24-Jan-14
82,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,6.2,5010,5175,5090,24-Jan-14
83,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,13,5200,5325,5250,26-Jan-14
84,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,21,5200,5300,5250,26-Jan-14
85,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,21,5200,5300,5250,26-Jan-14
86,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,4,5200,5300,5250,26-Jan-14
87,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,614,5150,5250,5200,28-Jan-14
88,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,45,5150,5250,5200,28-Jan-14
89,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,65,5175,5250,5200,28-Jan-14
90,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,35,5150,5250,5200,28-Jan-14
91,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18,4985,5021,4995,28-Jan-14
92,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,307.81,5000,5150,5100,28-Jan-14
93,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,18,5000,5125,5085,28-Jan-14
94,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,8,4960,5100,5050,28-Jan-14
95,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,2.7,4500,4750,4600,28-Jan-14
96,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,532,5051,5186,5150,30-Jan-14
97,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,45,5100,5200,5150,30-Jan-14
98,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,35,5100,5200,5150,30-Jan-14
99,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,12,5100,5200,5150,30-Jan-14
100,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,17.5,5000,5051,5025,30-Jan-14
101,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,338.15,4951,5051,5011,30-Jan-14
102,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,794,5100,5165,5150,02-Feb-14
103,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,210,5101,5195,5150,02-Feb-14
104,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,45,5101,5185,5150,02-Feb-14
105,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,32,5101,5180,5150,02-Feb-14
106,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,830,5101,5170,5150,03-Feb-14
107,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,15,5150,5150,5150,03-Feb-14
108,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,25,5101,5150,5125,03-Feb-14
109,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,10,5150,5150,5150,03-Feb-14
110,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,15.5,5000,5100,5045,03-Feb-14
111,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,829.6,5000,5100,5050,03-Feb-14
112,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,22.5,5000,5235,5150,03-Feb-14
113,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,8.5,5000,5200,5125,03-Feb-14
114,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,688,5101,5184,5150,04-Feb-14
115,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,85,5101,5180,5150,04-Feb-14
116,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,25,5101,5180,5150,04-Feb-14
117,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,12,5101,5185,5150,04-Feb-14
118,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,15,5000,5100,5035,04-Feb-14
119,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,875.33,4951,5151,5051,04-Feb-14
120,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,16,5075,5225,5125,04-Feb-14
121,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,5,5050,5200,5100,04-Feb-14
122,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,473,5150,5300,5250,06-Feb-14
123,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,54,5150,5295,5240,06-Feb-14
124,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,85,5150,5300,5225,06-Feb-14
125,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,45,5150,5300,5225,06-Feb-14
126,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,20,5100,5200,5150,06-Feb-14
127,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,614.93,4951,5125,5075,06-Feb-14
128,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,18.5,5115,5250,5185,06-Feb-14
129,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,5.5,5100,5240,5165,06-Feb-14
130,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,545,5100,5300,5200,08-Feb-14
131,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,194,5100,5250,5200,08-Feb-14
132,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,120,5150,5275,5200,08-Feb-14
133,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,10,5100,5250,5200,08-Feb-14
134,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18.5,5100,5150,5125,08-Feb-14
135,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,637.76,5000,5150,5100,08-Feb-14
136,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,12,5000,5190,5125,08-Feb-14
137,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,4,4975,5165,5100,08-Feb-14
138,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,145,5150,5250,5200,10-Feb-14
139,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,25,5150,5250,5200,10-Feb-14
140,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,34,5100,5250,5200,10-Feb-14
141,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,15,5100,5250,5200,10-Feb-14
142,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,21,5100,5211,5145,10-Feb-14
143,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,878.56,5100,5200,5150,10-Feb-14
144,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,13,4975,5200,5125,10-Feb-14
145,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,6,4965,5185,5100,10-Feb-14
146,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,239,5150,5235,5200,11-Feb-14
147,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,38,5100,5225,5175,11-Feb-14
148,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,45,5150,5225,5200,11-Feb-14
149,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,35,5150,5200,5175,11-Feb-14
150,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,853.07,5100,5200,5125,11-Feb-14
151,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,2.7,4500,4700,4600,11-Feb-14
152,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,335,5150,5225,5200,12-Feb-14
153,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,126,5150,5225,5200,12-Feb-14
154,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,23,5150,5225,5200,12-Feb-14
155,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,23,5150,5225,5200,12-Feb-14
156,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,20,5100,5150,5120,12-Feb-14
157,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,483.01,5050,5150,5111,12-Feb-14
158,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,16.5,4900,5160,5075,12-Feb-14
159,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,3.6,4900,5160,5020,12-Feb-14
160,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,245,5100,5250,5200,14-Feb-14
161,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,32,5100,5250,5220,14-Feb-14
162,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,31,5100,5250,5200,14-Feb-14
163,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,10,5100,5250,5225,14-Feb-14
164,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,19.5,5000,5125,5101,14-Feb-14
165,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,428.18,5000,5151,5125,14-Feb-14
166,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,12,4960,5150,5075,14-Feb-14
167,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,344,5101,5165,5125,15-Feb-14
168,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,127,5101,5175,5125,15-Feb-14
169,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,228,5101,5160,5125,15-Feb-14
170,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,35,5101,5170,5125,15-Feb-14
171,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,20,5025,5135,5100,15-Feb-14
172,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,507.31,5000,5161,5131,15-Feb-14
173,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,42,5100,5250,5200,16-Feb-14
174,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,23,5101,5250,5200,16-Feb-14
175,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,21,5101,5225,5200,16-Feb-14
176,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,5,5101,5250,5200,16-Feb-14
177,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,235,5100,5200,5150,18-Feb-14
178,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,124,5100,5200,5150,18-Feb-14
179,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,420,5100,5200,5150,18-Feb-14
180,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,24,5100,5200,5150,18-Feb-14
181,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18,5000,5100,5050,18-Feb-14
182,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,661.3,5051,5165,5131,18-Feb-14
183,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,12,4950,5100,5000,18-Feb-14
184,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,3,4900,5085,5000,18-Feb-14
185,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,412,5051,5186,5150,20-Feb-14
186,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,85,5051,5190,5150,20-Feb-14
187,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,130,5075,5190,5150,20-Feb-14
188,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,12,5050,5175,5100,20-Feb-14
189,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,25,5001,5121,5085,20-Feb-14
190,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,431.9,5000,5151,5075,20-Feb-14
191,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,16,4885,5050,4975,20-Feb-14
192,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,5,4865,5020,4950,20-Feb-14
193,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,421,5050,5150,5100,22-Feb-14
194,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,124,5001,5175,5125,22-Feb-14
195,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,13,5001,5150,5125,22-Feb-14
